provider,model,value,auth,get_key,coding_index,intelligence_index,arena_elo,daily_tokens,requests_per_day,volume_confidence,answered_rate,trains_on_free_tier,region_restriction,measured_at
xkiro,minimax/minimax-m3:free,234.4,KEY,https://xkiro.com,58.6,29.2,1265,5000000,,MEASURED,1.0,UNKNOWN,UNKNOWN,2026-09-20
cerebras,qwen-3.8-27b,224.8,KEY,https://cloud.cerebras.ai,68.1,33.7,,1000000,2400,MEASURED,1.0,UNKNOWN,UNKNOWN,2026-09-20
xkiro,minimax/minimax-m2.7:free,210.4,KEY,https://xkiro.com,52.6,22.8,1249,5000000,,MEASURED,1.0,UNKNOWN,UNKNOWN,2026-09-20
google,gemini-3.5-flash-lite,133.1,KEY,https://aistudio.google.com/apikey,49.3,22.2,,250000,500,DERIVED,,yes,"May not be used for apps serving users in the EEA, Switzerland or the UK",2026-09-20
openrouter,minimax/minimax-m3:free,100.1,KEY,https://openrouter.ai/keys,58.6,29.2,1265,25000,50,DERIVED,1.0,UNKNOWN,UNKNOWN,2026-09-20
kenari,mimo-v2-5:free,97.0,KEY,https://kenari.id/,56.8,,1275,25000,50,DERIVED,,UNKNOWN,UNKNOWN,2026-09-20
kenari,nemotron-3-ultra-550b-a55b:free,84.2,KEY,https://kenari.id/,49.3,22.9,1156,25000,50,DERIVED,,UNKNOWN,UNKNOWN,2026-09-20
kenari,mistral-medium-3-5:free,80.1,KEY,https://kenari.id/,46.9,14.2,,25000,50,DERIVED,,UNKNOWN,UNKNOWN,2026-09-20
openrouter,minimax/minimax-m2.7:free,0.0,KEY,https://openrouter.ai/keys,52.6,22.8,1249,25000,50,DERIVED,0.0,UNKNOWN,UNKNOWN,2026-09-20
openrouter,nvidia/nemotron-3-ultra-550b-a55b:free,0.0,KEY,https://openrouter.ai/keys,49.3,22.9,1156,25000,50,DERIVED,0.0,UNKNOWN,UNKNOWN,2026-09-20
cloudflare,@cf/meta/llama-3.3-70b-instruct-fp8-fast,,KEY,https://dash.cloudflare.com/profile/api-tokens,11.9,,,48826,,DERIVED,1.0,UNKNOWN,UNKNOWN,2026-09-20
